"","Overall","var","Variables","Resample"
"103",3.33497275971193,"summary_X455",482,"Fold1"
"104",3.30583018032612,"summary_X630",482,"Fold1"
"105",3.26872728818461,"summary_X165",482,"Fold1"
"106",3.26721138300418,"summary_X1197",482,"Fold1"
"107",3.19770592313377,"title_X860",482,"Fold1"
"108",3.18431384275622,"title_X218",482,"Fold1"
"109",3.17934196503944,"summary_X1232",482,"Fold1"
"110",3.17264581958822,"summary_X461",482,"Fold1"
"111",3.10969776090146,"summary_X229",482,"Fold1"
"112",3.016177488017,"author_X23061264",482,"Fold1"
"113",3.00263419461058,"summary_X329",482,"Fold1"
"114",2.99265109495368,"summary_X605",482,"Fold1"
"115",2.96849158175982,"summary_X1154",482,"Fold1"
"116",2.90250703146669,"summary_X2178",482,"Fold1"
"117",2.9020649735687,"summary_X1221",482,"Fold1"
"118",2.89918638729748,"summary_X494",482,"Fold1"
"119",2.89193871887056,"summary_X111",482,"Fold1"
"120",2.88252340208316,"summary_X799",482,"Fold1"
"121",2.85884784775652,"summary_X194",482,"Fold1"
"122",2.84897733367068,"summary_X100",482,"Fold1"
"123",2.84446874920561,"title_X762",482,"Fold1"
"124",2.80529761229689,"summary_X766",482,"Fold1"
"125",2.78044640810034,"summary_X760",482,"Fold1"
"126",2.77211120144048,"title_X957",482,"Fold1"
"127",2.74528776488751,"summary_X940",482,"Fold1"
"128",2.73875131792607,"summary_X154",482,"Fold1"
"129",2.72573975392776,"summary_X380",482,"Fold1"
"130",2.72137887565975,"summary_X538",482,"Fold1"
"131",2.71832720587326,"title_X536",482,"Fold1"
"132",2.67343973704603,"summary_X603",482,"Fold1"
"133",2.63852361042316,"summary_X477",482,"Fold1"
"134",2.59066668467708,"summary_X601",482,"Fold1"
"135",2.57121550722155,"summary_X612",482,"Fold1"
"136",2.57103299322474,"summary_X190",482,"Fold1"
"137",2.52707699783714,"summary_X1204",482,"Fold1"
"138",2.51569510976433,"summary_X832",482,"Fold1"
"139",2.49872302465639,"summary_X467",482,"Fold1"
"140",2.4620629600871,"title_X1273",482,"Fold1"
"141",2.37107226307537,"summary_X265",482,"Fold1"
"142",2.33449777252959,"summary_X393",482,"Fold1"
"143",2.29636008524178,"summary_X117",482,"Fold1"
"144",2.29209177821138,"summary_X559",482,"Fold1"
"145",2.2658044576635,"summary_X385",482,"Fold1"
"146",2.25833134575828,"summary_X2343",482,"Fold1"
"147",2.25268239522481,"summary_X1177",482,"Fold1"
"148",2.23059992146198,"summary_X370",482,"Fold1"
"149",2.23015762087669,"title_X1330",482,"Fold1"
"150",2.21952125897337,"summary_X133",482,"Fold1"
"151",2.21352831450352,"summary_X299",482,"Fold1"
"152",2.20730865509098,"summary_X291",482,"Fold1"
"153",2.18677976429181,"summary_X493",482,"Fold1"
"154",2.16616539766836,"title_X233",482,"Fold1"
"155",2.16191168940647,"summary_X555",482,"Fold1"
"156",2.15334572826163,"title_X840",482,"Fold1"
"157",2.15069905999429,"title_X1154",482,"Fold1"
"158",2.14594987608774,"summary_X326",482,"Fold1"
"159",2.13420873673826,"summary_X1419",482,"Fold1"
"160",2.1305138511155,"title_X1602",482,"Fold1"
"161",2.11493807380248,"summary_X1738",482,"Fold1"
"162",2.10468992966797,"summary_X116",482,"Fold1"
"163",2.08032851334039,"summary_X1602",482,"Fold1"
"164",2.0749431012995,"summary_X855",482,"Fold1"
"165",2.06732382663053,"summary_X1106",482,"Fold1"
"166",2.05544497714667,"summary_X1841",482,"Fold1"
"167",2.02944719028864,"summary_X430",482,"Fold1"
"168",2.01859182344348,"summary_X792",482,"Fold1"
"169",2.01623035805055,"summary_X4060",482,"Fold1"
"170",2.01094618400433,"summary_X739",482,"Fold1"
"171",2.00789209369021,"summary_X318",482,"Fold1"
"172",1.95541729380805,"summary_X297",482,"Fold1"
"173",1.94844112182606,"summary_X783",482,"Fold1"
"174",1.93286121724254,"summary_X269",482,"Fold1"
"175",1.92176860070074,"summary_X1901",482,"Fold1"
"176",1.90906075897594,"summary_X219",482,"Fold1"
"177",1.89402335059633,"summary_X607",482,"Fold1"
"178",1.89191740638523,"summary_X212",482,"Fold1"
"179",1.89067623380916,"summary_X678",482,"Fold1"
"180",1.86808269124459,"title_X688",482,"Fold1"
"181",1.85712353029848,"summary_X1032",482,"Fold1"
"182",1.8527868331293,"title_X299",482,"Fold1"
"183",1.83327686259513,"summary_X619",482,"Fold1"
"184",1.82995312318384,"summary_X200",482,"Fold1"
"185",1.80992247784744,"title_X111",482,"Fold1"
"186",1.80964903696547,"summary_X836",482,"Fold1"
"187",1.8034450389805,"summary_X793",482,"Fold1"
"188",1.759650979605,"summary_X256",482,"Fold1"
"189",1.73234009950643,"summary_X877",482,"Fold1"
"190",1.72576041897117,"author_X4445974446",482,"Fold1"
"191",1.70731433740371,"summary_X725",482,"Fold1"
"192",1.70086688299552,"summary_X513",482,"Fold1"
"193",1.66384291102647,"author_X819870820",482,"Fold1"
"194",1.64443000189679,"summary_X530",482,"Fold1"
